I0,I1,I2,I3,I4,I5
79.859985,276.230927,285.383606,3.333333,-0.866667,4.666667
79.986412,279.010986,284.276245,3.166667,-0.366667,3.100000
80.115440,282.489563,283.966614,2.833333,0.033333,1.966667
80.237122,289.112640,284.862793,2.366667,1.033333,0.766667
80.341553,294.839050,286.599030,2.000000,2.000000,0.066667
80.412918,300.644989,289.042847,1.933333,4.133333,-1.200000
80.483269,306.539398,292.086853,1.700000,6.366667,-1.233333
80.550224,309.438995,295.105682,1.600000,7.866667,-0.733333
80.621246,314.142120,298.417542,1.033333,8.566667,-0.633333
80.715836,314.261230,301.174255,1.233333,9.966666,-0.233333
80.833267,315.544952,303.674957,1.166667,10.900000,0.900000
80.980789,317.608643,306.099915,0.900000,11.433333,1.900000
81.172424,317.339722,308.056671,1.000000,11.866667,2.733333
81.423546,319.865295,310.112915,0.600000,12.066667,3.933333
81.696945,318.228729,311.527008,0.866667,12.000000,5.800000
81.993912,317.339722,312.540710,1.000000,11.866667,7.466667
82.290977,320.321503,313.896729,0.500000,11.833333,7.566667
82.542114,319.011536,314.788635,0.666667,11.400000,8.066667
82.694046,317.913879,315.333588,0.833333,11.300000,8.166667
82.728348,310.305359,314.459259,2.166667,11.500000,6.766667
82.645882,304.203247,312.674591,3.333333,11.533334,6.000000
82.466797,302.219696,310.854462,3.666667,11.266666,4.600000
82.200661,300.058899,308.974304,4.033333,10.966666,3.766667
81.869621,298.545166,307.157318,4.266667,10.666667,3.066667
81.506203,297.138519,305.411438,4.466667,10.333333,2.800000
81.161636,299.401581,304.363037,3.800000,9.733334,1.533333
80.888283,299.227844,303.467377,3.733333,9.400000,1.200000
80.690079,298.981720,302.685394,3.566667,8.700000,0.433333
80.558090,294.288147,301.223602,4.033333,7.366667,0.100000
80.475304,291.572144,299.544067,4.300000,6.633333,0.233333
80.428352,287.366455,297.425476,4.633333,5.366667,0.366667
80.393303,283.795074,295.054291,4.733333,4.000000,0.800000
80.356956,277.869659,292.064850,5.400000,2.733333,1.000000
80.298668,276.540833,289.364075,5.066667,1.733333,2.400000
80.213097,274.187714,286.723511,4.966667,0.766667,3.366667
80.123573,272.799774,284.300812,4.700000,-0.033333,3.833333
80.042099,272.115967,282.180664,4.466667,-0.533333,4.800000
79.975861,271.917480,280.394897,4.433333,-0.633333,5.833333
79.930908,270.804993,278.726410,4.833333,-0.500000,7.500000
79.912468,273.567169,277.828857,5.000000,0.600000,8.266666
79.918839,273.639221,277.100159,5.366667,1.100000,9.633333
79.923508,274.500977,276.648102,5.433333,1.500000,9.833333
79.938858,277.313843,276.764038,5.166667,2.166667,10.033334
80.047073,274.109406,276.303253,6.500000,2.766667,9.566667
80.209618,283.114014,277.489380,5.933333,5.933333,10.333333
80.408195,290.586426,279.769257,5.033333,7.900000,10.033334
80.609444,292.323578,281.954742,4.866667,8.466666,10.200000
80.807701,292.172058,283.733704,4.966667,8.633333,9.900000
80.986336,293.565155,285.445374,4.866667,9.200000,9.466666
81.155518,292.351166,286.648071,5.200000,9.333333,9.066667
81.307457,289.958099,287.225159,5.733333,9.200000,8.533334
81.357422,287.587646,287.288635,5.866667,8.133333,9.000000
81.359673,284.925720,286.877655,6.233333,7.433333,9.433333
81.344063,283.417786,286.275726,6.300000,6.766667,9.766666
81.353653,282.397125,285.601166,6.033333,5.766667,10.100000
81.399239,280.416962,284.699829,6.133333,5.000000,10.333333
81.478638,276.365112,283.250793,6.566667,3.833333,10.300000
81.602592,275.200012,281.851501,6.333333,3.000000,9.733334
81.763130,272.146790,280.164856,6.233333,1.633333,9.100000
81.937485,270.446167,278.475922,6.133333,0.866667,7.666667
82.103249,271.365112,277.240509,5.333333,0.266667,5.400000
82.261887,274.284851,276.727783,4.866667,0.666667,3.133333
82.399796,278.928345,277.111755,4.566667,1.833333,1.566667
82.498230,285.347687,278.545197,4.200000,3.600000,0.133333
82.576866,288.591248,280.293304,4.166667,4.900000,-0.100000
82.663628,288.846771,281.781860,4.500000,5.766667,-0.166667
82.848160,289.061890,283.049805,4.733333,6.400000,0.333333
83.180214,291.475403,284.518280,4.333333,6.666667,0.000000
83.593552,296.482117,286.602936,3.700000,7.633333,0.100000
84.032959,298.318420,288.644623,3.600000,8.400000,0.266667
84.490135,295.621277,289.862183,4.133333,8.400000,0.266667
84.948341,293.306396,290.465302,4.433333,7.900000,0.566667
85.408638,293.134460,290.933624,4.533333,8.066667,0.666667
85.843155,290.635071,290.885529,4.966667,7.766667,0.766667
86.139351,291.468079,290.989471,4.833333,7.900000,0.966667
86.259636,290.143188,290.843323,4.966667,7.500000,0.766667
86.285698,291.110474,290.890015,4.600000,7.133333,0.600000
86.242531,287.868042,290.363983,5.000000,6.400000,0.800000
86.129814,287.494965,289.863953,5.333333,6.933333,1.266667
85.980087,283.659515,288.783417,6.233333,6.766667,1.966667
85.794434,282.244232,287.644348,6.633333,6.766667,3.166667
85.594910,281.366791,286.550659,7.066667,7.066667,3.800000
85.419884,280.149261,285.435638,7.533333,7.200000,4.400000
85.271072,278.851654,284.289093,7.700000,6.766667,5.900000
85.121712,278.997986,283.367432,7.566667,6.633333,6.566667
84.973335,276.949829,282.249817,7.700000,5.766667,7.700000
84.842415,276.117279,281.181946,7.600000,5.200000,8.533334
84.732666,275.387329,280.173065,7.500000,4.700000,8.300000
84.678688,274.820251,279.241516,7.333333,4.200000,8.200000
84.699699,273.629639,278.265564,7.400000,3.733333,7.800000
84.773506,273.263641,277.396179,7.766667,4.033333,7.033333
84.882858,274.186401,276.838837,7.833333,4.566667,6.566667
85.040947,273.187103,276.205048,7.900000,4.166667,6.633333
85.280968,273.829620,275.793976,7.966667,4.566667,6.833333
85.583969,277.043152,276.013947,7.600000,5.666667,5.733333
85.930870,278.251831,276.406250,7.433333,6.033333,5.300000
86.247345,277.759399,276.644409,7.533333,5.933333,4.533333
86.535439,275.579315,276.461700,7.600000,4.933333,3.933333
86.829529,276.027954,276.388855,7.233333,4.633333,3.366667
87.152748,277.543091,276.592468,6.833333,4.766667,2.766667
87.496613,277.876556,276.818848,6.533333,4.466667,2.266667
87.825256,277.219238,276.891388,6.600000,4.266667,2.333333
88.155373,277.326782,276.970032,6.366667,3.966667,2.433333
88.504570,277.438507,277.054596,6.533333,4.266667,2.666667
88.920334,275.280090,276.749603,6.766667,3.633333,3.033333
89.390030,274.938751,276.438751,6.633333,3.300000,3.566667
89.887848,273.618896,275.952637,6.966667,3.166667,4.100000
90.398697,272.117126,275.290009,7.500000,3.166667,5.566667
